ANIO,MES,FECHA,IHH_TELFIJA_E
2010,6,15/06/2010,"7,933"
2010,9,15/09/2010,"7,582"
2010,12,15/12/2010,"7,471"
2011,3,15/03/2011,"6,953"
2011,6,15/06/2011,"6,758"
2011,9,15/09/2011,"6,847"
2011,12,15/12/2011,"6,892"
2012,3,15/03/2012,"6,714"
2012,6,15/06/2012,"6,690"
2012,9,15/09/2012,"6,951"
2012,12,15/12/2012,"7,152"
2013,3,15/03/2013,"7,067"
2013,6,15/06/2013,"6,858"
2013,9,15/09/2013,"6,756"
2013,12,15/12/2013,"6,786"
2014,3,15/03/2014,"6,465"
2014,6,15/06/2014,"5,665"
2014,9,15/09/2014,"5,563"
2014,12,15/12/2014,"5,848"
2015,3,15/03/2015,"5,602"
2015,6,15/06/2015,"5,579"
2015,9,15/09/2015,"5,450"
2015,12,15/12/2015,"5,388"
2016,3,15/03/2016,"5,510"
2016,6,15/06/2016,"5,542"
2016,9,15/09/2016,"5,599"
2016,12,15/12/2016,"5,446"
2017,3,15/03/2017,"5,290"
2017,6,15/06/2017,"5,403"
2017,9,15/09/2017,"5,440"
2017,12,15/12/2017,"5,376"
2018,3,15/03/2018,"5,405"
2018,6,15/06/2018,"5,517"
2018,9,15/09/2018,"5,480"
2018,12,15/12/2018,"5,380"
2019,3,15/03/2019,"5,271"
2019,6,15/06/2019,"5,319"
2019,9,15/09/2019,"5,286"
2019,12,15/12/2019,"5,290"
2020,3,15/03/2020,"5,356"
2020,6,15/06/2020,"5,389"
2020,9,15/09/2020,"5,402"
2020,12,15/12/2020,"5,409"
2021,3,15/03/2021,"5,410"
2021,6,15/06/2021,"5,363"
2021,9,15/09/2021,"5,238"
2021,12,15/12/2021,"5,319"
2022,3,15/03/2022,"5,076"
2022,6,15/06/2022,"5,056"
2022,9,15/09/2022,"4,832"
2022,12,15/12/2022,"4,733"
2023,3,15/03/2023,"4,649"
2023,6,15/06/2023,"4,628"
2023,9,15/09/2023,"4,590"
2023,12,15/12/2023,"4,417"
2024,3,15/03/2024,"4,291"
2024,6,15/06/2024,"4,247"
2024,9,15/09/2024,"4,168"
2024,12,15/12/2024,"4,033"
