ANIO,MES,K_GRUPO,GRUPO,MARKET_SHARE
2010,6,G006,AMÉRICA MÓVIL,88.71%
2010,6,G005,IUSACELL-UNEFÓN,5.01%
2010,6,G003,TELEFÓNICA,6.28%
2010,9,G006,AMÉRICA MÓVIL,86.55%
2010,9,G005,IUSACELL-UNEFÓN,6.98%
2010,9,G003,TELEFÓNICA,6.47%
2010,12,G006,AMÉRICA MÓVIL,85.83%
2010,12,G005,IUSACELL-UNEFÓN,8.40%
2010,12,G003,TELEFÓNICA,5.77%
2011,3,G006,AMÉRICA MÓVIL,82.45%
2011,3,G005,IUSACELL-UNEFÓN,9.50%
2011,3,G003,TELEFÓNICA,8.05%
2011,6,G006,AMÉRICA MÓVIL,81.08%
2011,6,G005,IUSACELL-UNEFÓN,11.04%
2011,6,G003,TELEFÓNICA,7.87%
2011,9,G006,AMÉRICA MÓVIL,81.66%
2011,9,G005,IUSACELL-UNEFÓN,11.43%
2011,9,G003,TELEFÓNICA,6.91%
2011,12,G006,AMÉRICA MÓVIL,81.96%
2011,12,G005,IUSACELL-UNEFÓN,11.55%
2011,12,G003,TELEFÓNICA,6.49%
2012,3,G006,AMÉRICA MÓVIL,80.77%
2012,3,G005,IUSACELL-UNEFÓN,11.24%
2012,3,C400,NEXTEL,0.01%
2012,3,G003,TELEFÓNICA,7.98%
2012,6,G006,AMÉRICA MÓVIL,80.64%
2012,6,G005,IUSACELL-UNEFÓN,10.12%
2012,6,C400,NEXTEL,0.02%
2012,6,G003,TELEFÓNICA,9.22%
2012,9,G006,AMÉRICA MÓVIL,82.45%
2012,9,G005,IUSACELL-UNEFÓN,8.44%
2012,9,C400,NEXTEL,0.05%
2012,9,G003,TELEFÓNICA,9.06%
2012,12,G006,AMÉRICA MÓVIL,83.81%
2012,12,G005,IUSACELL-UNEFÓN,7.17%
2012,12,C400,NEXTEL,0.24%
2012,12,G003,TELEFÓNICA,8.78%
2013,3,G006,AMÉRICA MÓVIL,83.28%
2013,3,G005,IUSACELL-UNEFÓN,6.99%
2013,3,C400,NEXTEL,0.75%
2013,3,G003,TELEFÓNICA,8.98%
2013,6,G006,AMÉRICA MÓVIL,82.02%
2013,6,G005,IUSACELL-UNEFÓN,6.67%
2013,6,C400,NEXTEL,2.23%
2013,6,G003,TELEFÓNICA,9.07%
2013,7,G006,AMÉRICA MÓVIL,81.79%
2013,7,G005,IUSACELL-UNEFÓN,6.47%
2013,7,C400,NEXTEL,2.53%
2013,7,G003,TELEFÓNICA,9.21%
2013,8,G006,AMÉRICA MÓVIL,81.57%
2013,8,G005,IUSACELL-UNEFÓN,6.28%
2013,8,C400,NEXTEL,2.81%
2013,8,G003,TELEFÓNICA,9.34%
2013,9,G006,AMÉRICA MÓVIL,81.37%
2013,9,G005,IUSACELL-UNEFÓN,6.11%
2013,9,C400,NEXTEL,3.07%
2013,9,G003,TELEFÓNICA,9.45%
2013,10,G006,AMÉRICA MÓVIL,81.44%
2013,10,G005,IUSACELL-UNEFÓN,6.00%
2013,10,C400,NEXTEL,3.22%
2013,10,G003,TELEFÓNICA,9.34%
2013,11,G006,AMÉRICA MÓVIL,81.52%
2013,11,G005,IUSACELL-UNEFÓN,5.89%
2013,11,C400,NEXTEL,3.36%
2013,11,G003,TELEFÓNICA,9.23%
2013,12,G006,AMÉRICA MÓVIL,81.59%
2013,12,G005,IUSACELL-UNEFÓN,5.79%
2013,12,C400,NEXTEL,3.49%
2013,12,G003,TELEFÓNICA,9.13%
2014,1,G006,AMÉRICA MÓVIL,80.83%
2014,1,G005,IUSACELL-UNEFÓN,6.61%
2014,1,C400,NEXTEL,3.70%
2014,1,G003,TELEFÓNICA,8.85%
2014,2,G006,AMÉRICA MÓVIL,80.09%
2014,2,G005,IUSACELL-UNEFÓN,7.41%
2014,2,C400,NEXTEL,3.91%
2014,2,G003,TELEFÓNICA,8.59%
2014,3,G006,AMÉRICA MÓVIL,79.45%
2014,3,G005,IUSACELL-UNEFÓN,8.10%
2014,3,C400,NEXTEL,4.09%
2014,3,G003,TELEFÓNICA,8.36%
2014,4,G006,AMÉRICA MÓVIL,77.24%
2014,4,G005,IUSACELL-UNEFÓN,8.17%
2014,4,C400,NEXTEL,4.15%
2014,4,G003,TELEFÓNICA,10.44%
2014,5,G006,AMÉRICA MÓVIL,75.25%
2014,5,G005,IUSACELL-UNEFÓN,8.23%
2014,5,C400,NEXTEL,4.20%
2014,5,G003,TELEFÓNICA,12.32%
2014,6,G006,AMÉRICA MÓVIL,73.34%
2014,6,G005,IUSACELL-UNEFÓN,8.29%
2014,6,C400,NEXTEL,4.26%
2014,6,G003,TELEFÓNICA,14.11%
2014,6,C629,VIRGIN MOBILE,0.01%
2014,7,G006,AMÉRICA MÓVIL,72.89%
2014,7,G005,IUSACELL-UNEFÓN,7.98%
2014,7,C400,NEXTEL,4.35%
2014,7,G003,TELEFÓNICA,14.74%
2014,7,C629,VIRGIN MOBILE,0.04%
2014,8,G006,AMÉRICA MÓVIL,72.44%
2014,8,G005,IUSACELL-UNEFÓN,7.66%
2014,8,C400,NEXTEL,4.46%
2014,8,G003,TELEFÓNICA,15.38%
2014,8,C629,VIRGIN MOBILE,0.06%
2014,9,G006,AMÉRICA MÓVIL,72.39%
2014,9,C106,CIERTO,0.00%
2014,9,G005,IUSACELL-UNEFÓN,7.26%
2014,9,C400,NEXTEL,4.50%
2014,9,G003,TELEFÓNICA,15.81%
2014,9,C629,VIRGIN MOBILE,0.04%
2014,10,G006,AMÉRICA MÓVIL,72.98%
2014,10,C106,CIERTO,0.00%
2014,10,G005,IUSACELL-UNEFÓN,6.86%
2014,10,C400,NEXTEL,4.35%
2014,10,G003,TELEFÓNICA,15.76%
2014,10,C629,VIRGIN MOBILE,0.05%
2014,11,G006,AMÉRICA MÓVIL,73.52%
2014,11,C106,CIERTO,0.00%
2014,11,G005,IUSACELL-UNEFÓN,6.49%
2014,11,C400,NEXTEL,4.22%
2014,11,G003,TELEFÓNICA,15.70%
2014,11,C629,VIRGIN MOBILE,0.07%
2014,12,G006,AMÉRICA MÓVIL,74.58%
2014,12,C106,CIERTO,0.00%
2014,12,G005,IUSACELL-UNEFÓN,6.04%
2014,12,C400,NEXTEL,4.01%
2014,12,G003,TELEFÓNICA,15.30%
2014,12,C629,VIRGIN MOBILE,0.07%
2015,1,G006,AMÉRICA MÓVIL,73.02%
2015,1,C106,CIERTO,0.00%
2015,1,G005,IUSACELL-UNEFÓN,6.31%
2015,1,C400,NEXTEL,4.11%
2015,1,G003,TELEFÓNICA,16.46%
2015,1,C629,VIRGIN MOBILE,0.09%
2015,2,G006,AMÉRICA MÓVIL,72.35%
2015,2,C106,CIERTO,0.00%
2015,2,G005,IUSACELL-UNEFÓN,6.32%
2015,2,C400,NEXTEL,4.17%
2015,2,C323,QBO CEL,0.09%
2015,2,G003,TELEFÓNICA,16.95%
2015,2,C629,VIRGIN MOBILE,0.12%
2015,3,G006,AMÉRICA MÓVIL,72.54%
2015,3,C106,CIERTO,0.00%
2015,3,G005,IUSACELL-UNEFÓN,6.15%
2015,3,C400,NEXTEL,4.14%
2015,3,C323,QBO CEL,0.10%
2015,3,G003,TELEFÓNICA,16.89%
2015,3,C629,VIRGIN MOBILE,0.18%
2015,4,G006,AMÉRICA MÓVIL,72.36%
2015,4,C106,CIERTO,0.01%
2015,4,G005,IUSACELL-UNEFÓN,6.04%
2015,4,C376,MAZ TIEMPO,0.03%
2015,4,C400,NEXTEL,4.15%
2015,4,C323,QBO CEL,0.11%
2015,4,G003,TELEFÓNICA,17.05%
2015,4,C629,VIRGIN MOBILE,0.25%
2015,5,G006,AMÉRICA MÓVIL,72.54%
2015,5,C106,CIERTO,0.01%
2015,5,G005,IUSACELL-UNEFÓN,5.86%
2015,5,C376,MAZ TIEMPO,0.03%
