ANIO,MES,FECHA,T_H_INTMOVIL_E
2010,6,15/06/2010,1
2010,9,15/09/2010,3
2010,12,15/12/2010,4
2011,3,15/03/2011,6
2011,6,15/06/2011,8
2011,9,15/09/2011,10
2011,12,15/12/2011,12
2012,3,15/03/2012,14
2012,6,15/06/2012,16
2012,9,15/09/2012,18
2012,12,15/12/2012,21
2013,3,15/03/2013,22
2013,6,15/06/2013,23
2013,7,15/07/2013,24
2013,8,15/08/2013,25
2013,9,15/09/2013,26
2013,10,15/10/2013,27
2013,11,15/11/2013,28
2013,12,15/12/2013,29
2014,1,15/01/2014,30
2014,2,15/02/2014,30
2014,3,15/03/2014,30
2014,4,15/04/2014,32
2014,5,15/05/2014,33
2014,6,15/06/2014,34
2014,7,15/07/2014,34
2014,8,15/08/2014,34
2014,9,15/09/2014,35
2014,10,15/10/2014,37
2014,11,15/11/2014,40
2014,12,15/12/2014,43
2015,1,15/01/2015,41
2015,2,15/02/2015,42
2015,3,15/03/2015,44
2015,4,15/04/2015,44
2015,5,15/05/2015,46
2015,6,15/06/2015,46
2015,7,15/07/2015,47
2015,8,15/08/2015,48
2015,9,15/09/2015,48
2015,10,15/10/2015,49
2015,11,15/11/2015,50
2015,12,15/12/2015,53
2016,1,15/01/2016,51
2016,2,15/02/2016,50
2016,3,15/03/2016,52
2016,4,15/04/2016,52
2016,5,15/05/2016,54
2016,6,15/06/2016,54
2016,7,15/07/2016,57
2016,8,15/08/2016,57
2016,9,15/09/2016,57
2016,10,15/10/2016,58
2016,11,15/11/2016,59
2016,12,15/12/2016,62
2017,1,15/01/2017,62
2017,2,15/02/2017,62
2017,3,15/03/2017,63
2017,4,15/04/2017,62
2017,5,15/05/2017,63
2017,6,15/06/2017,63
2017,7,15/07/2017,64
2017,8,15/08/2017,64
2017,9,15/09/2017,64
2017,10,15/10/2017,64
2017,11,15/11/2017,65
2017,12,15/12/2017,66
2018,1,15/01/2018,67
2018,2,15/02/2018,66
2018,3,15/03/2018,67
2018,4,15/04/2018,67
2018,5,15/05/2018,67
2018,6,15/06/2018,67
2018,7,15/07/2018,67
2018,8,15/08/2018,68
2018,9,15/09/2018,67
2018,10,15/10/2018,68
2018,11,15/11/2018,69
2018,12,15/12/2018,71
2019,1,15/01/2019,72
2019,2,15/02/2019,70
2019,3,15/03/2019,71
2019,4,15/04/2019,72
2019,5,15/05/2019,73
2019,6,15/06/2019,74
2019,7,15/07/2019,74
2019,8,15/08/2019,75
2019,9,15/09/2019,74
2019,10,15/10/2019,75
2019,11,15/11/2019,76
2019,12,15/12/2019,78
2020,1,15/01/2020,77
2020,2,15/02/2020,77
2020,3,15/03/2020,77
2020,4,15/04/2020,76
2020,5,15/05/2020,76
2020,6,15/06/2020,76
2020,7,15/07/2020,77
2020,8,15/08/2020,78
2020,9,15/09/2020,78
2020,10,15/10/2020,79
2020,11,15/11/2020,78
2020,12,15/12/2020,79
2021,1,15/01/2021,79
2021,2,15/02/2021,79
2021,3,15/03/2021,80
2021,4,15/04/2021,80
2021,5,15/05/2021,80
2021,6,15/06/2021,80
2021,7,15/07/2021,81
2021,8,15/08/2021,81
2021,9,15/09/2021,81
2021,10,15/10/2021,83
2021,11,15/11/2021,83
2021,12,15/12/2021,85
2022,1,15/01/2022,87
2022,2,15/02/2022,87
2022,3,15/03/2022,88
2022,4,15/04/2022,87
2022,5,15/05/2022,88
2022,6,15/06/2022,88
2022,7,15/07/2022,89
2022,8,15/08/2022,90
2022,9,15/09/2022,90
2022,10,15/10/2022,91
2022,11,15/11/2022,91
2022,12,15/12/2022,92
2023,1,15/01/2023,92
2023,2,15/02/2023,91
2023,3,15/03/2023,92
2023,4,15/04/2023,91
2023,5,15/05/2023,91
2023,6,15/06/2023,92
2023,7,15/07/2023,92
2023,8,15/08/2023,94
2023,9,15/09/2023,94
2023,10,15/10/2023,94
2023,11,15/11/2023,95
2023,12,15/12/2023,96
2024,1,15/01/2024,97
2024,2,15/02/2024,97
2024,3,15/03/2024,98
2024,4,15/04/2024,98
2024,5,15/05/2024,99
2024,6,15/06/2024,99
2024,7,15/07/2024,99
2024,8,15/08/2024,99
2024,9,15/09/2024,99
2024,10,15/10/2024,100
2024,11,15/11/2024,101
2024,12,15/12/2024,102
