FOLIO,ANIO,MES,FECHA,K_GRUPO,GRUPO,K_EMPRESA,EMPRESA,CONCESIONARIO,TRAF_TB_2G_E,TRAF_TB_3G_E,TRAF_TB_4G_E,TRAF_TB_NO_ESPECIFICADO_E,TOTAL_TB_E
100418,2019,1,15/01/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,0.989257813,0.989257813
100418,2019,2,15/02/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,10.6875,10.6875
100418,2019,3,15/03/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,10.24804688,10.24804688
100418,2019,4,15/04/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,48.49707031,48.49707031
100418,2019,5,15/05/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,26.48925781,26.48925781
100418,2019,6,15/06/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,34.32421875,34.32421875
100418,2019,7,15/07/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,10.57226563,10.57226563
100418,2019,8,15/08/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,7.067382813,7.067382813
100418,2019,9,15/09/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,5.3359375,5.3359375
100418,2019,10,15/10/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,6.057617188,6.057617188
100418,2019,11,15/11/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,6.630859375,6.630859375
100418,2019,12,15/12/2019,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,5.825195313,5.825195313
100418,2020,1,15/01/2020,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,2.421875,2.421875
100418,2020,2,15/02/2020,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,1.0859375,1.0859375
100418,2020,3,15/03/2020,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",,,,27.27441406,27.27441406
