estado,PC1,PC2,PC3,cluster,perfil,indice_digital,ranking,mahalanobis_d2,es_outlier
Aguascalientes,0.9235591575335443,0.25799329009514826,-0.5245349416692141,0,Cluster 1: Avanzado,92.69,7,4.274488405038004,False
Baja California,1.1641397378449896,0.1324758789436704,-0.10236572517103976,0,Cluster 1: Avanzado,99.16,3,1.725146500226543,False
Baja California Sur,1.237304079800487,-0.15049130044481046,0.31993583335704845,0,Cluster 1: Avanzado,99.58,2,2.938735898673092,False
Campeche,-0.5271441788194411,-0.5560508388225849,0.600621901555379,2,Cluster 2: Intermedio-Alto,43.72,24,5.848942420295051,False
Chiapas,-2.071221174856175,-0.09545625188073864,-0.1779842296783677,1,Cluster 3: Intermedio-Bajo,0.0,32,5.196653120819642,False
Chihuahua,0.24043365831992214,-1.0793392539350681,-0.49123447046159907,0,Cluster 1: Avanzado,63.59,18,8.890298785443804,True
Ciudad de Mexico,1.1958702092595752,0.11396598223876508,0.37371882160141956,0,Cluster 1: Avanzado,100.0,1,3.175908076705393,False
Coahuila,1.142541176669995,-0.048580576527541386,-0.17124045486648615,0,Cluster 1: Avanzado,97.36,5,1.7910737832102297,False
Colima,1.056349395522318,0.15481307757136265,-0.059810820284446176,0,Cluster 1: Avanzado,96.04,6,1.4169410448252282,False
Durango,-0.6012597388849973,-0.9346164700023611,0.15553206010096243,2,Cluster 2: Intermedio-Alto,39.08,28,5.334491569871094,False
Estado de Mexico,0.07767188283756032,0.6386467010261867,0.0746378933238655,2,Cluster 2: Intermedio-Alto,69.55,16,2.246823107037223,False
Guanajuato,-0.41755364975980847,0.4208467486171187,-0.4694830133500412,2,Cluster 2: Intermedio-Alto,53.21,20,3.5157029583175,False
Guerrero,-1.7722439218028216,-0.12468889275100081,0.1288795779780446,1,Cluster 3: Intermedio-Bajo,8.84,30,3.781225721960301,False
Hidalgo,-0.3679175942794649,0.07610703630665594,0.2304337721781311,2,Cluster 2: Intermedio-Alto,52.53,21,0.7544715574108567,False
Jalisco,0.44805518328834737,-0.2673389103688389,-0.015544965001766553,0,Cluster 1: Avanzado,75.0,13,0.609550930721675,False
Michoacan,-0.593920292296458,0.10180612619166829,0.14375082549694407,2,Cluster 2: Intermedio-Alto,45.87,23,0.6731744534575965,False
Morelos,0.1623930276902451,0.6803311726751384,0.15953675662586098,2,Cluster 2: Intermedio-Alto,72.37,14,2.7775895603112053,False
Nayarit,-0.2919972151465533,-0.33034929180765005,0.2382576940290997,2,Cluster 2: Intermedio-Alto,52.25,22,1.2901705955262786,False
Nuevo Leon,1.2039784164723693,-0.13664247660352802,-0.4621529430056156,0,Cluster 1: Avanzado,98.66,4,4.024139009741347,False
Oaxaca,-2.018924376646119,-0.08363012071153997,-0.20626736017821817,1,Cluster 3: Intermedio-Bajo,1.65,31,5.06269874084612,False
Puebla,-0.8876591452502741,0.6069084113118928,-0.20919698556251676,2,Cluster 2: Intermedio-Alto,40.19,25,3.322935124542762,False
Queretaro,0.49265339100806604,-0.1924499136470384,-0.30275832712413553,0,Cluster 1: Avanzado,76.82,12,1.4570418612367915,False
Quintana Roo,0.6339912844540024,-0.11349903299459269,0.4062214285862239,0,Cluster 1: Avanzado,81.59,10,2.296309215399361,False
San Luis Potosi,-0.6813763756080178,-0.38677426498013917,-0.06672472820832986,2,Cluster 2: Intermedio-Alto,40.13,26,1.3677389929566557,False
Sinaloa,0.561328632650968,-0.20127578184470424,-0.11226273963126876,0,Cluster 1: Avanzado,78.84,11,0.7053111237487588,False
Sonora,0.9488504798354892,-0.32407542682190915,0.3741754021529988,0,Cluster 1: Avanzado,89.77,8,3.077907104974832,False
Tabasco,-0.11369078574256442,0.17661744209955166,0.41153010044500593,2,Cluster 2: Intermedio-Alto,60.84,19,2.005049010654726,False
Tamaulipas,0.6861776115500812,0.022906907048296288,-0.22605881018944896,0,Cluster 1: Avanzado,84.03,9,1.0807025244226485,False
Tlaxcala,-0.18157947772929606,1.0130418809028074,0.41292476666310873,2,Cluster 2: Intermedio-Alto,64.09,17,7.358506393975411,False
Veracruz,-1.0972695808598865,0.3641316169025346,-0.3058818033313523,1,Cluster 3: Intermedio-Bajo,32.33,29,3.065364518024209,False
Yucatan,0.2020818536656307,0.3222757140624436,-0.22932899450553634,2,Cluster 2: Intermedio-Alto,71.3,15,1.1672693919828276,False
Zacatecas,-0.7536216707217178,-0.057609181849198554,0.10267447812528507,2,Cluster 2: Intermedio-Alto,40.03,27,0.7676384976428393,False
