estado,PC1,PC2,PC3,cluster,perfil,indice_digital,ranking,mahalanobis_d2,es_outlier
Aguascalientes,0.9211565618753237,0.28846273426219216,-0.5111592870132977,0,Cluster 1: Avanzado,92.8,7,4.16378601744504,False
Baja California,1.1622140308041484,0.16798986053011078,-0.09052320578747769,0,Cluster 1: Avanzado,99.4,3,1.726388964924878,False
Baja California Sur,1.2314431624727102,-0.12877627565209238,0.31619702304851727,0,Cluster 1: Avanzado,99.74,2,2.814412730493066,False
Campeche,-0.519137137116173,-0.52772319244211,0.6003919722834579,1,Cluster 2: Intermedio-Alto,44.24,23,5.6755888921479345,False
Chiapas,-2.066650236984608,-0.06596518939765272,-0.18206063977297837,1,Cluster 2: Intermedio-Alto,0.0,31,5.0587281594653515,False
Chihuahua,0.24339400938120792,-1.0673772499917433,-0.5030491513851952,0,Cluster 1: Avanzado,64.19,16,9.14228581559339,True
Ciudad de Mexico,1.1899551975277658,0.1273371791031559,0.3797386627415601,0,Cluster 1: Avanzado,100.0,1,3.1703181393305804,False
Coahuila,1.136576032160422,-0.02641864070637584,-0.17116606614383678,0,Cluster 1: Avanzado,97.47,5,1.7305980558135199,False
Colima,1.0494434779598303,0.18967979497668586,-0.050816666265269816,0,Cluster 1: Avanzado,96.1,6,1.437056952505422,False
Durango,-0.5970993275532371,-0.9472615890586603,0.137914882008353,1,Cluster 2: Intermedio-Alto,39.38,27,5.631654474852442,False
Guanajuato,-0.4102167174372604,0.43266347860827714,-0.45325212288948796,1,Cluster 2: Intermedio-Alto,53.24,19,3.4106562631180326,False
Guerrero,-1.7562607428783346,-0.09239439819570894,0.13628573240441366,1,Cluster 2: Intermedio-Alto,9.27,29,3.6268149098156752,False
Hidalgo,-0.3629688402380199,0.07464345211834733,0.22466947808420912,1,Cluster 2: Intermedio-Alto,52.55,21,0.7101121746199697,False
Jalisco,0.44805138124692157,-0.22115957695244523,-0.012874981844553268,0,Cluster 1: Avanzado,75.41,13,0.4965786728219244,False
Michoacan,-0.5870398278280378,0.16843278447408527,0.15878360041774953,1,Cluster 2: Intermedio-Alto,46.3,22,0.8041165273107955,False
Morelos,0.16162339734566977,0.6824994222473769,0.1655500949185701,0,Cluster 1: Avanzado,72.08,14,2.934788386507939,False
Nayarit,-0.284670934353744,-0.29451358152618734,0.2394109184092672,1,Cluster 2: Intermedio-Alto,52.74,20,1.1827698843250083,False
Nuevo Leon,1.2025058314380652,-0.09289662538474353,-0.4554438918426682,0,Cluster 1: Avanzado,99.08,4,3.8299898246633726,False
Oaxaca,-2.013056678940835,-0.054484253709424835,-0.21059856140409106,1,Cluster 2: Intermedio-Alto,1.69,30,4.929832322838887,False
Puebla,-0.8742751647758177,0.6258091384611518,-0.19230151647437455,1,Cluster 2: Intermedio-Alto,40.29,25,3.429103049249878,False
Queretaro,0.4941567317539537,-0.16653481744742116,-0.29836260457042507,0,Cluster 1: Avanzado,77.14,12,1.3659126979170821,False
Quintana Roo,0.6296385086379399,-0.08539015784387571,0.40499906230940863,0,Cluster 1: Avanzado,81.73,10,2.21207037155832,False
San Luis Potosi,-0.6711705965030323,-0.3821711343419211,-0.07001757386248292,1,Cluster 2: Intermedio-Alto,40.49,24,1.3661177876552517,False
Sinaloa,0.5597985735325102,-0.19463372180391136,-0.12032604857571827,0,Cluster 1: Avanzado,78.96,11,0.7096517104006578,False
Sonora,0.9449974535742569,-0.3041642949666612,0.3671192778335436,0,Cluster 1: Avanzado,90.01,8,2.925594271347725,False
Tabasco,-0.10985279808110249,0.19649256993055175,0.41640874637584147,1,Cluster 2: Intermedio-Alto,60.95,18,2.065681495444177,False
Tamaulipas,0.6831109092210901,0.036163999573037064,-0.23121616935996087,0,Cluster 1: Avanzado,84.07,9,1.0849883145877064,False
Tlaxcala,-0.1786775674121026,0.991112910542938,0.41580065321723525,1,Cluster 2: Intermedio-Alto,63.57,17,7.381985117048903,False
Veracruz,-1.0843411177342592,0.37982218466797424,-0.29106682911010096,1,Cluster 2: Intermedio-Alto,32.46,28,2.996385929962499,False
Yucatan,0.2011761767164475,0.35375139090712393,-0.21846014959715693,0,Cluster 1: Avanzado,71.33,15,1.252404744433744,False
Zacatecas,-0.743823747811696,-0.06299620098207948,0.09942536184695006,1,Cluster 2: Intermedio-Alto,40.17,26,0.7336273418008397,False
