state_code,cve_ent,estado,region,pobreza_pct,pobreza_extrema_pct,vulnerable_carencias_pct,no_pobre_no_vulnerable_pct,rezago_educativo_pct,carencia_salud_pct,carencia_servicios_basicos_pct,ingreso_inferior_lp_pct,pib_total,pib_per_capita,poblacion_total,poblacion_edad_laboral_pct,poblacion_economicamente_activa_pct,poblacion_afiliada_imss_pct,personas_usuarias_computadora_pct,personas_usuarias_internet_pct,personas_conexion_internet_movil_pct,personas_usan_redes_sociales_pct,personas_compras_internet_pct,personas_pagos_internet_pct,personas_banca_electronica_pct,personas_con_celular_pct,personas_usuarias_celular_pct,personas_con_smartphone_pct,personas_conexion_datos_celular_pct,personas_usan_apps_redes_sociales_pct,personas_usan_banca_movil_pct,teledensidad_internet_movil,localidades_con_cobertura_movil_pct,poblacion_en_localidades_con_cobertura_movil_pct,localidades_con_4g_garantizada_pct,poblacion_en_localidades_con_4g_garantizada_pct,localidades_con_5g_garantizada_pct,poblacion_en_localidades_con_5g_garantizada_pct,hogares_en_localidades_con_internet_pct,poblacion_en_localidades_con_internet_pct,hogares_con_internet_pct,uso_internet_educacion_pct,uso_internet_gobierno_pct,escolaridad_promedio_anios,analfabetismo_15ymas_pct,sin_escolaridad_15ymas_pct,posbasica_18ymas_pct,pob_0_14_pct,pob_15_64_pct,pob_65_mas_pct,localidades_total,irs_indice,viv_sin_agua_pct,viv_sin_drenaje_pct,viv_sin_luz_pct,sin_derechohabiencia_pct,ookla_velocidad_avg_mbps,ookla_cobertura_4g_pct,brecha_4g_pp
AGS,01,Aguascalientes,Bajio,23.7223,1.7586,29.8944,37.1289,16.4998,26.194,2.4658,32.9767,328087.965,230.1391,1425607.0,66.0655,49.588,54.7504,39.14,87.74,43.59,77.26,39.1,33.99,29.2,86.12,87.08,85.33,58.73,65.24,29.42,91.0,98.2119,99.2606,96.9156,98.8342,8.3766,19.7569,93.3,92.31,82.4,81.2,34.0,9.2364,3.1138,3.1564,36.1654,30.0776,63.2857,6.5355,2022.0,-1.024,1.0481,1.5995,0.7378,17.515,53.6883,50.1799,1.9186
BCN,02,Baja California,Noroeste,13.3708,1.3059,38.0503,43.1717,15.547,28.4101,4.0521,18.778,947677.009,251.4386,3769020.0,69.9709,53.3533,52.9456,37.95,86.38,53.35,76.41,31.76,33.78,19.56,90.72,90.26,86.21,72.17,66.43,34.44,107.0,92.1061,99.5663,89.2075,99.4688,13.6315,68.332,97.69,97.29,81.6,76.0,30.4,9.7083,2.9014,4.4014,45.3263,24.4254,68.7101,6.6526,5545.0,-0.832,5.1872,9.6834,1.7967,22.2505,58.6871,33.1571,10.2613
BCS,03,Baja California Sur,Noroeste,13.329,0.7617,37.71,44.3967,14.1839,17.3367,9.9279,17.8933,187152.161,234.3952,798447.0,68.7634,53.5139,51.2064,40.38,90.43,53.45,83.6,38.62,36.38,16.13,89.92,91.66,89.14,75.4,71.6,40.84,120.0,58.4068,96.7856,42.31,95.4462,3.6857,36.7124,95.58,94.72,80.4,83.2,28.5,9.926,2.8655,4.1465,48.6373,24.9301,67.8508,6.9298,2543.0,-0.8262,3.7928,4.3292,1.4638,14.6404,56.5135,33.9021,53.1362
CAM,04,Campeche,Sureste,45.1294,9.643,27.7007,21.2748,20.312,34.5696,34.871,51.0245,473399.457,509.9293,928363.0,66.0424,49.8304,31.0424,33.71,84.14,52.25,76.19,24.95,24.7,4.5,76.82,86.28,83.9,69.16,65.18,32.96,109.0,72.8451,87.2959,67.7584,86.0843,0.0523,13.4778,78.37,76.37,71.5,85.7,30.4,8.695,8.1808,9.4774,35.4686,28.1168,63.9295,7.7722,2762.0,-0.3634,6.3302,9.1095,1.97,21.6472,44.239,55.1634,18.3259
CHH,08,Chihuahua,Norte,17.5722,2.0961,30.1221,44.3411,16.0886,21.4914,4.7382,25.5367,930854.91,248.7674,3741869.0,67.1575,49.8046,54.6051,42.35,85.23,53.8,78.36,40.01,35.54,22.43,84.7,86.65,83.45,67.93,67.06,32.5,105.0,70.2128,78.8868,55.331,72.6566,1.2138,7.8128,92.94,91.93,77.6,81.9,38.4,7.6816,7.4719,8.2668,25.0986,26.4877,61.7917,11.6143,12186.0,-0.0221,4.0853,12.5674,5.7379,14.0218,40.8772,41.448,17.3256
CHP,07,Chiapas,Sureste,67.3708,28.2125,21.8887,8.0717,31.1069,66.0662,50.831,70.0396,389794.852,70.3115,5543828.0,61.2731,45.1194,12.1339,23.5,64.92,33.3,57.44,14.85,13.64,6.58,63.09,73.17,68.04,46.84,47.01,16.61,70.0,90.5195,91.6301,80.8936,85.8518,0.2896,2.5867,57.9,53.35,50.7,77.5,23.2,6.9324,16.3927,15.8567,23.1579,33.8383,59.4804,6.3926,21157.0,0.7055,10.277,9.7936,1.9809,27.9297,33.7251,45.3294,4.9582
CMX,09,Ciudad de Mexico,Centro,23.9676,1.7126,26.7409,41.0921,9.6995,28.7459,3.3896,32.167,3885956.593,421.9305,9209944.0,70.8521,55.3745,42.1452,52.76,87.93,54.21,81.47,39.28,39.68,17.1,87.39,90.05,88.48,73.61,67.52,37.03,125.0,99.3803,99.9996,98.0252,99.9994,63.6678,86.3907,99.9,99.88,84.4,82.2,40.5,11.5862,1.4172,1.9889,63.6065,17.9868,70.9448,10.9382,634.0,-1.2981,1.756,0.2528,0.0936,26.358,51.9569,35.7322,1.9742
COA,05,Coahuila,Noreste,18.2433,1.7962,24.1203,47.0562,13.453,19.6773,3.381,28.8235,922286.189,293.0897,3146771.0,66.3138,47.1892,66.2808,40.49,88.15,46.97,79.81,37.48,32.17,23.94,87.79,91.33,89.02,68.4,70.4,31.16,108.0,86.5736,96.6334,79.3938,95.4792,6.1146,21.3689,94.84,94.39,83.1,84.9,26.7,9.1876,2.8644,3.2271,35.3643,27.0296,64.013,8.8341,4034.0,-1.062,1.8329,3.7505,0.7355,21.6547,53.0049,38.7209,16.0853
COL,06,Colima,Occidente,20.5472,1.2116,31.8597,40.8059,15.6373,21.9358,4.783,27.3345,157139.889,214.8507,731391.0,67.6123,52.8639,49.5281,43.93,87.82,54.48,80.23,38.22,33.21,21.31,87.05,90.98,88.93,69.93,68.41,32.17,108.0,95.9096,98.8581,90.9835,97.6631,7.2207,40.0874,96.72,96.3,77.1,87.7,34.7,9.214,4.5869,5.3,40.3357,24.0691,66.1706,9.4596,1226.0,-0.7846,1.2795,1.0951,0.9035,14.7354,58.4279,24.2296,6.6796
DUR,10,Durango,Norte,34.3111,6.302,28.1554,28.3619,17.868,30.1584,9.6992,43.4827,323802.357,176.6853,1832650.0,63.9854,44.65,40.6332,37.4,82.85,54.88,76.22,31.64,26.47,12.35,85.8,89.05,85.8,67.44,65.6,24.65,105.0,63.3631,73.8454,51.3546,65.6657,0.5075,5.9453,82.75,81.0,63.9,83.6,28.5,8.1941,4.6419,4.9681,26.6068,29.0921,60.384,10.4522,5890.0,-0.3925,3.5916,10.0516,3.3664,25.0069,38.5628,48.5419,14.3111
GRO,12,Guerrero,Sur,60.3547,22.23,26.2094,10.0681,28.8152,52.7395,53.9169,63.7225,314019.724,88.689,3540685.0,61.4157,46.1828,14.2918,24.75,77.48,46.51,71.72,20.88,18.07,7.72,74.93,83.35,80.98,60.52,60.11,17.42,95.0,77.844,86.9521,71.0884,82.9942,1.5574,3.2766,69.24,66.51,58.9,82.1,35.0,7.0904,17.7219,16.2765,26.1648,31.7352,58.4312,9.6539,6769.0,0.9213,13.9682,19.4241,2.6069,22.7806,39.9934,34.6085,11.9058
GUA,11,Guanajuato,Bajio,33.0343,3.2402,34.0723,24.5415,22.8444,33.1531,9.3568,41.3862,1170675.898,189.8311,6166934.0,65.7089,48.6001,36.6318,32.62,78.84,41.38,67.21,26.98,19.99,12.9,81.85,84.53,82.2,57.47,54.49,18.2,89.0,93.8701,96.6283,90.9412,95.0715,4.3952,18.4471,83.16,82.46,75.3,81.1,28.7,8.1567,7.6274,9.0916,28.282,27.2907,63.6244,8.9443,8809.0,-0.5668,3.6567,5.9075,0.865,18.4294,35.7231,45.8294,4.1303
HID,13,Hidalgo,Centro,40.999,6.7787,36.972,16.9536,19.996,50.4086,24.4624,46.0745,454116.317,147.3045,3082841.0,65.6366,48.7331,24.1401,39.55,83.21,54.6,73.93,27.45,27.25,11.17,83.5,88.85,85.13,69.44,65.46,27.43,110.0,95.8362,96.9949,88.6455,92.8302,4.6005,8.2209,67.81,66.83,70.2,85.9,36.6,8.4469,9.3326,8.5024,31.7475,26.3265,63.5677,10.0832,4690.0,-0.327,5.7698,7.9317,1.3873,27.7324,39.5875,42.3589,4.1848
JAL,14,Jalisco,Occidente,21.8362,2.1237,37.7998,33.0449,20.4422,37.1307,4.1523,29.1554,1864059.172,223.2901,8348151.0,65.9671,50.8383,49.706,41.01,87.69,49.69,79.3,34.94,31.9,10.9,87.37,88.89,86.47,67.63,68.48,26.04,108.0,89.4446,94.8962,77.4979,90.4977,4.3241,7.7305,93.77,93.32,80.9,81.0,31.2,8.1638,5.78,6.4079,29.4317,27.3862,61.8344,10.7249,10348.0,-0.7166,1.7245,2.8733,1.2678,27.5518,50.4759,36.9803,12.9998
MEX,15,Estado de Mexico,Centro,42.8755,5.96,23.4499,23.6014,16.3426,44.1544,9.4612,52.9487,2313164.328,136.1292,16992418.0,68.2879,50.2837,35.2121,37.16,86.02,37.02,78.04,25.91,25.52,16.63,83.38,86.74,85.3,65.2,58.43,23.74,107.0,99.0664,99.5929,95.9036,98.2203,10.3183,18.0512,93.83,93.18,76.7,84.1,37.1,9.2666,4.7677,4.9466,39.3616,27.1102,65.8107,7.051,4894.0,-0.6078,4.1265,5.8066,0.7435,30.0671,38.2643,40.1683,2.3167
MIC,16,Michoacan,Occidente,41.7363,7.5261,36.3391,17.2863,28.9364,51.2139,21.7857,46.3746,681445.83,143.4971,4748846.0,63.6815,48.3498,25.4176,32.24,82.5,53.76,72.91,29.44,24.8,8.41,81.42,88.25,85.03,65.45,63.49,22.98,104.0,91.6001,96.0182,81.826,92.1741,3.7316,10.1071,82.29,81.35,67.7,78.3,23.4,7.4118,9.5961,10.2951,24.9396,28.1808,61.3481,10.4191,8644.0,-0.3466,3.0461,6.3228,0.966,37.8694,53.5698,37.2869,10.3481
MOR,17,Morelos,Centro,41.0559,5.8455,30.8426,21.3802,17.898,46.4475,17.4311,47.7772,271218.84,137.5684,1971520.0,66.5777,51.6347,31.2731,33.24,84.21,46.93,74.89,27.07,25.64,15.46,86.36,88.41,85.91,68.54,61.73,23.21,108.0,99.3451,99.829,98.5594,99.5902,8.9999,23.0075,96.67,96.53,74.4,80.6,32.9,9.0547,5.6302,6.0184,37.8554,25.381,65.3609,9.2238,1578.0,-0.5401,6.7422,4.5086,0.6265,25.9508,48.8234,41.0236,1.0308
NAY,18,Nayarit,Occidente,29.3132,6.4292,37.4273,27.266,20.3332,34.0886,14.3869,35.3068,159749.672,129.3042,1235456.0,64.2445,49.3385,37.581,31.42,83.0,63.6,76.31,29.8,23.11,9.32,84.4,87.56,83.44,70.32,65.19,24.85,107.0,85.6162,92.6899,76.0723,88.2968,1.9331,8.335,85.33,83.59,66.9,82.5,26.1,8.68,6.7332,6.9756,36.2345,28.071,61.5024,10.3332,2850.0,-0.2658,4.681,8.4246,4.0162,19.7909,51.0825,37.3349,12.2245
