,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
pobreza_pct,32.0,34.5411,14.929,13.329,21.6925,33.6727,44.4443,67.3708,0.4202,-0.8112
pobreza_extrema_pct,32.0,6.5337,6.558,0.7617,1.7868,5.3646,7.441,28.2125,1.9005,3.621
vulnerable_carencias_pct,32.0,30.516,5.022,20.9559,26.7404,30.0082,35.5635,38.0503,-0.0242,-1.0473
no_pobre_no_vulnerable_pct,32.0,28.0401,11.7895,8.0717,17.2031,27.814,37.7125,47.0562,0.0111,-1.2139
rezago_educativo_pct,32.0,19.2007,5.0572,9.6995,16.0938,17.883,20.8487,31.1069,0.8227,0.3607
carencia_salud_pct,32.0,36.5047,12.6347,17.3367,27.6046,34.3195,45.535,66.0662,0.688,-0.0583
carencia_servicios_basicos_pct,32.0,18.1413,16.11,2.4658,6.3043,9.69,25.1163,55.1704,1.1034,0.0738
ingreso_inferior_lp_pct,32.0,41.4439,14.1681,17.8933,29.0724,41.8183,51.5056,70.0396,0.2512,-0.9427
pib_total,32.0,792663.1454,778044.4477,151512.669,327016.563,547010.873,924428.3692,3885956.593,2.521,7.5731
pib_per_capita,32.0,206.6503,94.1439,70.3115,137.2086,197.6058,249.4352,509.9293,1.4117,2.7105
poblacion_total,32.0,3937938.25,3278009.0925,731391.0,1851651.25,3054892.0,4947591.5,16992418.0,2.3143,7.2338
poblacion_edad_laboral_pct,32.0,66.1204,2.3233,61.2731,65.1082,66.054,67.4301,70.8521,-0.1725,-0.0243
poblacion_economicamente_activa_pct,32.0,49.2653,2.8458,43.2165,48.1326,49.2178,50.4224,55.3745,0.0118,0.1103
poblacion_afiliada_imss_pct,32.0,38.6854,14.3448,12.1339,27.4423,40.0964,49.8081,66.2808,-0.1554,-0.7911
personas_usuarias_computadora_pct,32.0,36.5275,6.3805,23.5,32.6025,37.895,40.62,52.76,-0.1626,0.4821
personas_usuarias_internet_pct,32.0,83.7078,5.7542,64.92,82.4325,85.025,87.74,91.34,-1.6059,3.2474
personas_conexion_internet_movil_pct,32.0,50.1509,7.9164,33.3,43.5325,53.4,54.67,67.11,-0.2548,-0.2559
personas_usan_redes_sociales_pct,32.0,75.8734,5.9938,57.44,73.675,76.605,79.4275,86.45,-1.236,2.4279
personas_compras_internet_pct,32.0,30.7778,6.8354,14.85,26.7125,30.72,36.9925,40.01,-0.441,-0.605
personas_pagos_internet_pct,32.0,27.8897,6.5478,13.64,23.4775,27.775,33.21,39.68,-0.267,-0.764
personas_banca_electronica_pct,32.0,14.6181,6.488,4.5,9.1025,13.37,18.405,29.2,0.5548,-0.3666
personas_con_celular_pct,32.0,83.525,5.9808,63.09,81.1925,84.55,87.49,92.24,-1.5007,3.3992
personas_usuarias_celular_pct,32.0,87.3653,4.1739,73.17,86.245,88.08,90.1025,93.08,-1.8468,4.6564
personas_con_smartphone_pct,32.0,84.42,4.6424,68.04,83.13,85.215,86.99,91.05,-1.7634,4.6871
personas_conexion_datos_celular_pct,32.0,66.2519,7.2029,46.84,62.56,67.545,70.0025,81.24,-0.8151,1.3758
personas_usan_apps_redes_sociales_pct,32.0,64.5475,6.2743,47.01,61.4275,65.53,67.8175,77.88,-0.8399,1.3954
personas_usan_banca_movil_pct,32.0,27.7697,6.9987,15.52,22.73,28.425,33.105,40.84,-0.0306,-0.9839
teledensidad_internet_movil,32.0,103.6562,11.9613,70.0,97.0,106.5,109.0,128.0,-0.7388,1.6139
localidades_con_cobertura_movil_pct,32.0,86.8462,12.0797,51.83,82.6675,89.56,95.25,99.83,-1.2997,1.3819
poblacion_en_localidades_con_cobertura_movil_pct,32.0,97.9016,2.4407,91.97,97.145,98.86,99.5925,100.0,-1.3764,0.6472
localidades_con_4g_garantizada_pct,32.0,79.6353,15.1473,42.46,72.87,81.615,89.6725,98.61,-0.9778,0.4581
poblacion_en_localidades_con_4g_garantizada_pct,32.0,96.85,3.1273,89.89,94.915,98.1,99.215,100.0,-1.0551,-0.0405
localidades_con_5g_garantizada_pct,32.0,4.9359,3.5433,0.07,1.9225,4.365,7.21,14.44,0.8383,0.2262
poblacion_en_localidades_con_5g_garantizada_pct,32.0,55.8859,21.1001,19.95,41.7475,54.665,74.705,92.84,-0.0473,-0.9605
hogares_en_localidades_con_internet_pct,32.0,84.9162,12.1432,56.2,78.5125,87.35,93.93,99.9,-0.9006,-0.1134
poblacion_en_localidades_con_internet_pct,32.0,83.8028,12.8127,53.35,77.5175,86.09,93.3525,99.88,-0.8931,-0.0834
